,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
lgb_base8_rtrim10,0.009256170200531795,0.025338700966476318,0.10020965605800243,0.0890757502160047,0.06002029547972376,0.05983751464627724,0.05061512949595626,0.0903200863904432,0.03755988342849229,0.01890249031700736
lgb_base8_rtrim20,0.012839770556370934,0.018266133397554438,0.1031481241561575,0.03605732182445786,0.047023535523758396,0.059528963415199074,0.07044431131436553,0.08500819602307266,0.029609618047687684,0.005930077896768929
lgb_base8_rtrim5,0.009529614021579527,0.0352475928204899,0.06948177958079028,0.09646193576611044,0.06476894151740062,0.04278212075754849,0.05210693893313523,0.10653502399969886,0.038480036143111365,0.011580195765490898
lgb_base8_rtrim50,0.007107386953039057,0.04339416846940456,0.0974451159264905,0.03977002380669167,0.08995571495699521,0.07945071396505486,0.03967048892202491,0.05147544147406545,0.06158286897316508,0.00438904308537162
nn_base8a-wd0.0001b12,0.02211460068951409,0.023158975719763997,0.04629528960841584,0.052715422352202015,0.06068642271406233,0.06182174413801436,0.03245167671969458,0.018536402611509562,0.031313939549686566,0.07099305188132858
nn_base8a-wd0.0001b12x1x2,0.09077507376479389,0.07802440025092407,0.04883637053735725,0.06142511982598641,0.09155963383741361,0.01419431261751947,0.05952594928907469,0.05561375158302622,0.03579566832798783,0.11114153070938569
nn_base8a-wd0.0001b12x2,0.05183244676074957,0.04834666764720373,0.06684815561789427,0.008938549764852718,0.062315960984307174,0.02836041940375875,0.06770357519753827,0.03953125318631669,0.024835432121749514,0.16256840970965056
nn_base8a-wd0.0001b12x3p0.5,0.1107819919976346,0.1676613232347089,0.057038475589910154,0.15308195812812433,0.056015179750673265,0.07741727340806542,0.05678758321474654,0.05292734700795934,0.05628504901672563,0.05766337949203184
nn_base8a-wd0.0001b12x3p0.8,0.1030810439430678,0.0342516192421664,0.05077119500184128,0.014538189777421847,0.05430787062906892,0.03991858026059979,0.04236566243456712,0.01685937917206848,0.06290956372804433,0.03891479378700209
nn_base8a-wd0.001b12,0.026157660790692944,0.008621363515336017,0.03183538553407819,0.019271326341320148,0.0477305596249531,0.0736372124257597,0.018199899138938096,0.03243342549595196,0.036796445219446715,0.017432686013099778
nn_base8a-wd0.001b12x1x2,0.06059824271352099,0.08080891445393071,0.03540388732935809,0.043628991661156274,0.06017459971565424,0.003589749899056895,0.08236848154479477,0.08428160694689876,0.05088028266550371,0.04757604232198455
nn_base8a-wd0.001b12x2,0.03490342359129138,0.05149092412954907,0.017468590436102934,0.02386356585686865,0.04778660146857138,0.02007672202903738,0.03701298063517913,0.04353844044293964,0.07264885575006041,0.16525780638818777
nn_base8a-wd0.001b12x3p0.5,0.0664146623240318,0.07013979533084096,0.046512363007253345,0.05537904466557248,0.07482558197465178,0.03068403253482943,0.036371165268389814,0.06481651531567438,0.03441856220535782,0.04400864200883844
nn_base8a-wd0.001b12x3p0.8,0.030192705173483422,0.03918326429020377,0.0092058018404286,0.0361935073911624,0.07072087668864552,0.06416196933736923,0.016301141561494127,0.009478732035206987,0.050404266006568936,0.011310399946088547
